Customer_ID,Customer_Name,Gender,Age,City,Country,Membership_Type,Signup_Date,Customer_Segment
C001,Arjun Mehta,Male,38,Surat,India,Silver,2025-05-23,Family Traveler
C002,Deepak Singh,Male,42,Mumbai,India,Platinum,2025-02-25,Couple Traveler
C003,Aditi Shah,Female,24,Ahmedabad,India,Gold,2025-03-06,Adventure Traveler
C004,Ishita Menon,Female,30,Mumbai,India,Gold,2025-06-28,Family Traveler
C005,Akash Bose,Male,55,Chandigarh,India,Silver,2025-05-02,Family Traveler
C006,Tanvi Joshi,Female,55,Jaipur,India,Silver,2025-01-05,Couple Traveler
C007,Karan Reddy,Male,24,Delhi,India,Gold,2025-06-22,Couple Traveler
C008,Divya Trivedi,Female,43,Surat,India,Platinum,2025-06-26,Solo Traveler
C009,Ananya Chopra,Female,43,Kolkata,India,Silver,2025-02-10,Solo Traveler
C010,Ravi Patel,Male,52,Kolkata,India,Silver,2025-05-20,Adventure Traveler
C011,Komal Kapoor,Female,46,Chennai,India,Silver,2025-02-22,Couple Traveler
C012,Vikram Agarwal,Male,28,Mumbai,India,Silver,2025-03-22,Family Traveler
C013,Deepak Chopra,Male,40,Chennai,India,Silver,2025-02-03,Family Traveler
C014,Harsh Banerjee,Male,23,Jaipur,India,Gold,2025-03-09,Family Traveler
C015,Rishi Shah,Male,57,Bangalore,India,Silver,2025-04-22,Adventure Traveler
C016,Kunal Menon,Male,23,Ahmedabad,India,Silver,2025-06-16,Solo Traveler
C017,Meera Mishra,Female,54,Mumbai,India,Silver,2025-01-18,Couple Traveler
C018,Ravi Menon,Male,56,Mumbai,India,Silver,2025-02-25,Solo Traveler
C019,Ishita Kapoor,Female,55,Ahmedabad,India,Silver,2025-07-03,Solo Traveler
C020,Ankit Gupta,Male,60,Hyderabad,India,Silver,2025-06-13,Adventure Traveler
C021,Karan Bose,Male,57,Ahmedabad,India,Silver,2025-06-05,Solo Traveler
C022,Harsh Gupta,Male,24,Lucknow,India,Silver,2025-04-11,Couple Traveler
C023,Deepika Mehta,Female,40,Chandigarh,India,Silver,2025-02-08,Solo Traveler
C024,Komal Sen,Female,45,Jaipur,India,Gold,2025-06-20,Adventure Traveler
C025,Divya Shah,Female,38,Ahmedabad,India,Gold,2025-04-10,Adventure Traveler
C026,Preeti Rao,Female,52,Mumbai,India,Gold,2025-07-17,Solo Traveler
C027,Kavya Joshi,Female,23,Bangalore,India,Gold,2025-02-26,Couple Traveler
C028,Aditi Iyer,Female,44,Kolkata,India,Silver,2025-03-09,Couple Traveler
C029,Aarav Mehta,Male,57,Ahmedabad,India,Silver,2025-07-08,Adventure Traveler
C030,Bhavna Kapoor,Female,33,Pune,India,Gold,2025-06-26,Solo Traveler
C031,Tanvi Chopra,Female,59,Bangalore,India,Gold,2025-04-30,Family Traveler
C032,Akash Banerjee,Male,47,Pune,India,Gold,2025-05-17,Couple Traveler
C033,Ishita Banerjee,Female,26,Delhi,India,Silver,2025-06-10,Family Traveler
C034,Divya Mishra,Female,48,Hyderabad,India,Silver,2025-02-17,Solo Traveler
C035,Vikram Kapoor,Male,52,Kolkata,India,Silver,2025-03-09,Adventure Traveler
C036,Simran Sharma,Female,33,Lucknow,India,Gold,2025-06-13,Adventure Traveler
C037,Aditi Agarwal,Female,32,Chandigarh,India,Platinum,2025-05-04,Couple Traveler
C038,Dev Kumar,Male,51,Bangalore,India,Silver,2025-05-13,Adventure Traveler
C039,Tanvi Kumar,Female,51,Delhi,India,Silver,2025-06-22,Adventure Traveler
C040,Arjun Menon,Male,53,Mumbai,India,Silver,2025-03-22,Solo Traveler
C041,Karan Bose,Male,29,Jaipur,India,Silver,2025-05-19,Solo Traveler
C042,Karan Tiwari,Male,34,Bangalore,India,Platinum,2025-07-17,Couple Traveler
C043,Yash Banerjee,Male,25,Mumbai,India,Gold,2025-01-10,Family Traveler
C044,Deepak Verma,Male,35,Jaipur,India,Gold,2025-02-17,Adventure Traveler
C045,Aarohi Menon,Female,45,Pune,India,Platinum,2025-03-28,Family Traveler
C046,Priya Kapoor,Female,50,Delhi,India,Silver,2025-01-11,Family Traveler
C047,Jhanvi Rao,Female,45,Pune,India,Silver,2025-06-23,Adventure Traveler
C048,Swati Rao,Female,52,Lucknow,India,Silver,2025-05-01,Solo Traveler
C049,Tanvi Malhotra,Female,27,Pune,India,Silver,2025-01-08,Adventure Traveler
C050,Pallavi Banerjee,Female,22,Bangalore,India,Silver,2025-04-04,Couple Traveler
C051,Aditi Chatterjee,Female,38,Kolkata,India,Silver,2025-03-01,Couple Traveler
C052,Vikram Chopra,Male,52,Delhi,India,Gold,2025-06-24,Family Traveler
C053,Yash Iyer,Male,42,Hyderabad,India,Platinum,2025-01-14,Family Traveler
C054,Jhanvi Trivedi,Female,47,Bangalore,India,Gold,2025-01-02,Couple Traveler
C055,Ishita Iyer,Female,39,Ahmedabad,India,Gold,2025-02-15,Family Traveler
C056,Saurabh Gupta,Male,31,Mumbai,India,Silver,2025-04-01,Adventure Traveler
C057,Rohan Mehta,Male,40,Lucknow,India,Silver,2025-03-08,Family Traveler
C058,Kavya Gupta,Female,37,Chennai,India,Silver,2025-01-29,Solo Traveler
C059,Aarav Kapoor,Male,59,Lucknow,India,Silver,2025-05-06,Adventure Traveler
C060,Pooja Malhotra,Female,36,Hyderabad,India,Platinum,2025-05-11,Adventure Traveler
C061,Sonali Verma,Female,50,Hyderabad,India,Platinum,2025-03-14,Solo Traveler
C062,Pranav Kumar,Male,35,Delhi,India,Gold,2025-07-03,Solo Traveler
C063,Rohan Verma,Male,39,Kolkata,India,Silver,2025-01-23,Family Traveler
C064,Amit Patel,Male,29,Delhi,India,Silver,2025-01-05,Couple Traveler
C065,Deepika Menon,Female,33,Ahmedabad,India,Silver,2025-01-13,Adventure Traveler
C066,Dev Verma,Male,54,Ahmedabad,India,Silver,2025-01-20,Couple Traveler
C067,Gaurav Rao,Male,41,Chandigarh,India,Silver,2025-02-25,Family Traveler
C068,Shivam Trivedi,Male,42,Surat,India,Gold,2025-06-06,Adventure Traveler
C069,Siddharth Trivedi,Male,48,Surat,India,Silver,2025-01-09,Family Traveler
C070,Jhanvi Singh,Female,33,Hyderabad,India,Silver,2025-06-10,Adventure Traveler
C071,Manish Agarwal,Male,27,Hyderabad,India,Silver,2025-05-13,Solo Traveler
C072,Ritika Malhotra,Female,51,Chandigarh,India,Silver,2025-05-28,Couple Traveler
C073,Pooja Trivedi,Female,51,Jaipur,India,Silver,2025-07-12,Adventure Traveler
C074,Akash Shah,Male,60,Delhi,India,Platinum,2025-01-18,Solo Traveler
C075,Deepak Mishra,Male,55,Bangalore,India,Gold,2025-04-18,Couple Traveler
C076,Harsh Iyer,Male,33,Lucknow,India,Silver,2025-06-03,Solo Traveler
C077,Deepak Verma,Male,54,Surat,India,Silver,2025-02-03,Family Traveler
C078,Shreya Tiwari,Female,51,Bangalore,India,Silver,2025-06-22,Family Traveler
C079,Saurabh Agarwal,Male,39,Hyderabad,India,Gold,2025-06-01,Solo Traveler
C080,Pallavi Tiwari,Female,30,Ahmedabad,India,Silver,2025-03-07,Adventure Traveler
C081,Rahul Malhotra,Male,41,Mumbai,India,Gold,2025-03-13,Solo Traveler
C082,Priya Das,Female,46,Bangalore,India,Gold,2025-03-11,Solo Traveler
C083,Aditya Das,Male,54,Chandigarh,India,Gold,2025-05-18,Couple Traveler
C084,Karan Sen,Male,23,Jaipur,India,Silver,2025-01-27,Adventure Traveler
C085,Ritika Shah,Female,47,Chandigarh,India,Platinum,2025-07-09,Adventure Traveler
C086,Deepak Patel,Male,51,Chandigarh,India,Platinum,2025-06-02,Couple Traveler
C087,Yash Nair,Male,28,Surat,India,Gold,2025-06-14,Solo Traveler
C088,Ankit Mishra,Male,40,Chandigarh,India,Silver,2025-02-28,Adventure Traveler
C089,Harsh Verma,Male,46,Lucknow,India,Silver,2025-03-07,Solo Traveler
C090,Rahul Tiwari,Male,27,Delhi,India,Silver,2025-05-17,Adventure Traveler
C091,Rahul Tiwari,Male,49,Chennai,India,Gold,2025-01-22,Solo Traveler
C092,Jhanvi Pandey,Female,31,Hyderabad,India,Gold,2025-01-20,Solo Traveler
C093,Kavya Shah,Female,40,Ahmedabad,India,Silver,2025-05-24,Couple Traveler
C094,Komal Malhotra,Female,42,Surat,India,Silver,2025-02-04,Family Traveler
C095,Rishi Kumar,Male,52,Chennai,India,Platinum,2025-06-27,Adventure Traveler
C096,Neha Malhotra,Female,54,Mumbai,India,Silver,2025-05-14,Solo Traveler
C097,Ritika Reddy,Female,56,Mumbai,India,Gold,2025-01-24,Adventure Traveler
C098,Aarohi Sharma,Female,34,Hyderabad,India,Silver,2025-05-17,Adventure Traveler
C099,Karan Kapoor,Male,36,Pune,India,Silver,2025-07-11,Couple Traveler
C100,Manish Das,Male,58,Lucknow,India,Silver,2025-07-13,Family Traveler
C101,Tanvi Iyer,Female,30,Mumbai,India,Platinum,2025-05-18,Couple Traveler
C102,Siddharth Menon,Male,29,Hyderabad,India,Silver,2025-04-28,Couple Traveler
C103,Jhanvi Chopra,Female,32,Mumbai,India,Silver,2025-05-30,Solo Traveler
C104,Simran Sen,Female,40,Ahmedabad,India,Silver,2025-07-08,Solo Traveler
C105,Divya Joshi,Female,40,Lucknow,India,Silver,2025-01-10,Family Traveler
C106,Komal Pandey,Female,58,Chandigarh,India,Gold,2025-04-12,Solo Traveler
C107,Deepak Patel,Male,53,Jaipur,India,Silver,2025-02-11,Adventure Traveler
C108,Sneha Pandey,Female,54,Delhi,India,Silver,2025-07-02,Family Traveler
C109,Mohit Shah,Male,31,Kolkata,India,Silver,2025-02-27,Couple Traveler
C110,Ravi Mehta,Male,23,Chennai,India,Silver,2025-05-01,Family Traveler
C111,Anjali Tiwari,Female,41,Delhi,India,Gold,2025-06-13,Solo Traveler
C112,Kavya Kapoor,Female,30,Pune,India,Silver,2025-06-26,Family Traveler
C113,Simran Sharma,Female,43,Jaipur,India,Silver,2025-07-19,Adventure Traveler
C114,Kavya Das,Female,26,Pune,India,Gold,2025-02-12,Family Traveler
C115,Akash Gupta,Male,56,Pune,India,Silver,2025-03-25,Couple Traveler
C116,Pooja Chatterjee,Female,26,Hyderabad,India,Gold,2025-03-15,Solo Traveler
C117,Deepak Reddy,Male,55,Delhi,India,Silver,2025-01-26,Adventure Traveler
C118,Karan Chatterjee,Male,30,Pune,India,Gold,2025-03-25,Couple Traveler
C119,Neha Verma,Female,59,Ahmedabad,India,Gold,2025-03-30,Couple Traveler
C120,Swati Singh,Female,60,Mumbai,India,Silver,2025-01-11,Solo Traveler
C121,Yash Shah,Male,50,Jaipur,India,Silver,2025-05-31,Adventure Traveler
C122,Divya Verma,Female,53,Chandigarh,India,Silver,2025-04-25,Solo Traveler
C123,Manish Gupta,Male,43,Kolkata,India,Silver,2025-03-03,Couple Traveler
C124,Bhavna Patel,Female,30,Chandigarh,India,Silver,2025-03-25,Couple Traveler
C125,Nikhil Mishra,Male,49,Bangalore,India,Silver,2025-05-30,Solo Traveler
